"","Crop Code","Crop Name","Crop Type Name","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"46","0011","WHEAT","SOFT WHITE WINTER",2972449.66,2963205.3,3662975.83,3374379.33,3425000.19,3187654.89,3121474.319,3283904.431,3161947.076,3148080.36
"47","0012","TOBACCO, CIGAR WRAPPER","NULL",NA,NA,NA,249.54,NA,NA,NA,NA,NA,NA
"48","0012","TOBACCO, CIGAR WRAPPER",NA,591.94,446.12,417.95,NA,220.46,244.21,106.46,221.39,221.9,106.81
"49","0013","TOBACCO, BURLEY 31V","NULL",NA,NA,NA,1826.81,NA,NA,NA,NA,NA,NA
"50","0013","TOBACCO, BURLEY 31V",NA,NA,1,1528.29,NA,489.62,234.01,191.48,2.21,NA,6
"51","0016","OATS","HLS",NA,NA,NA,NA,NA,NA,NA,11215.1,NA,NA
"52","0016","OATS","HLW",NA,NA,NA,NA,NA,NA,NA,2826.24,NA,NA
"53","0016","OATS","HULLESS",998.77,2051.47,3236.65,2865,1759.64,1311.31,1629.56,NA,NA,NA
"54","0016","OATS","HULLESS  SPRING",NA,NA,NA,NA,NA,NA,NA,NA,9883.77,26295.95
"55","0016","OATS","HULLESS  WINTER",NA,NA,NA,NA,NA,NA,NA,NA,4345.97,5336.18
"56","0016","OATS","SPRING",1894302.54,1760198.27,1307689.29,1661058.28,1878404.91,1752635.39,2001287.413,1801489.952,1630538.197,1783310.389
"57","0016","OATS","WINTER",691115.64,620359.07,734269.85,735130.71,673988.47,633484.89,693417.55,571751.304,568258.71,518458.612
"58","0018","RICE","LONG GRAIN",2452793.72,2857542.29,4099481.83,4042243.16,4315726.53,4751217.73,4498308.906,5061006.582,4067481.06,4455422.54
"59","0018","RICE","MEDIUM GRAIN",796787.57,746634.86,1718081.04,1269378.4,1343357.41,1461570.09,1688753.518,1328714.3,1481073.04,1424579.79
"60","0018","RICE","SHORT GRAIN",33374.55,29315.1,62326.4,90095.8,67138.78,49765.8,55002.56,63448.22,68287.76,58731.83
"61","0019","KAMUT","NULL",NA,NA,NA,11833.46,NA,NA,NA,NA,NA,NA
"62","0019","KAMUT",NA,4162.8,5784.7,6529.39,NA,11077.87,13765.7,20458.83,29548.58,NA,NA
"63","0019","KHORASAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,43717.24,5274.3
"64","0021","COTTON  UPLAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,16975872.082,18632193.0118
"65","0021","COTTON, UPLAND","NULL",NA,NA,NA,16119436.69,NA,NA,NA,NA,NA,NA
"66","0021","COTTON, UPLAND",NA,8999521.14,10664972.38,19240202.89,NA,13613608.62,14563224.61,11933148.8641,13600992.6267,NA,NA
"67","0022","COTTON, ELS","NULL",NA,NA,NA,519140.06,NA,NA,NA,NA,NA,NA
"68","0022","COTTON, ELS",NA,182211.35,210885.83,585470.36,NA,425704.24,503217.56,480455.01,535509.65,533666.86,428798.23
"69","0023","ORANGES","BLOOD AND TOERH",56.9,64.6,147,57.6,36.16,307.46,201.86,288.18,197.74,224.1
"70","0023","ORANGES","CALAMONDIN",NA,8.9,1.8,153.8,160.2,NA,7.54,6.7,6.7,0.66
"71","0023","ORANGES","EARLY",5005.73,5083.23,6562.7,3980.9,4257.4,4052.78,7958.29,10581.21,8049.09,42104
"72","0023","ORANGES","EARLY MIDSEASON",3161.56,3059.94,2363.78,2972.72,1662.8,2419.57,7730.42,11368.02,10505.918,17918.16
"73","0023","ORANGES","LATE",2263.6,2257.02,2664.28,1240.43,1973.6,1514.4,7691.73,2069.01,1188.88,1879.42
"74","0023","ORANGES","MANDARINS",1254.86,1560.43,3195.42,2249.24,2323.22,3770.86,5079.85,4413.24,4663.58,5432.3982
"75","0023","ORANGES","NAVEL",18656.64,18767.59,36361.36,19737.04,17788.07,20915.42,19980.1012,18638.1034,16030.776,16546.5052
"76","0023","ORANGES","SWEET",274.04,97.58,36.82,66.3,84.95,371.23,293.93,832.03,572.16,718.14
"77","0023","ORANGES","TEMPLE",150,193.1,NA,2,NA,NA,8.8452,102.8452,105.4,547.64
"78","0023","ORANGES","VALENCIA",13807.85,13351.17,13543.98,8228.49,7074.56,7808.87,18198.7308,34859.8088,24746.474,82629.7512
"79","0024","TANGELOS","MINNEOLA",1480.16,1133.97,1788.84,1130.26,892.07,933.57,1242.2402,1479.7606,1463.32,2317.24
"80","0024","TANGELOS","ORLANDO",191.7,229.4,286.44,214.04,84.24,83.24,176.22,259.06,323.822,759.08
"81","0027","ALFALFA","NULL",NA,NA,NA,13594722.66,NA,NA,NA,NA,NA,NA
"82","0027","ALFALFA",NA,11751160.54,11315808.95,13871550.49,NA,13723109.8,13634566.81,14186010.688,14115963.511,13815484.686,13775496.827
"83","0028","ALMONDS","NULL",NA,NA,NA,599397,NA,NA,NA,NA,NA,NA
"84","0028","ALMONDS",NA,346976.24,322371.52,633603.74,NA,646745.77,637401.08,649729.33,667446.52,670894.25,698900.51
"85","0029","WALNUTS","BLACK",2442.21,4060.42,4530.61,4571.96,4995.31,5201.66,5795.93,6712.64,5926.81,6602.9
"86","0029","WALNUTS","ENGLISH",79361.91,81916.66,156791.66,151076.04,173652.61,160524.03,173587.11,177758.51,186118.64,186063.815
"87","0030","GRAPEFRUIT","RIO RED/STAR RUBY",3165.34,2741.3,8293.6,6610.6,5755.38,6697.83,6700.3694,6228.2894,3988.744,4507.4
"88","0030","GRAPEFRUIT","RUBY RED",12288.09,12307.03,3768.81,2626.99,2671.03,2740.73,6113.6888,3723.25,3826.16,21372.257
"89","0030","GRAPEFRUIT","SEEDY",106.8,127.29,0.3,NA,NA,3.16,NA,28.18,115.56,65.1
"90","0030","GRAPEFRUIT","WHITE",2587.28,2500.42,913.44,465.73,453.7,392.95,2737.65,1423.79,731.19,7747.02
"91","0031","FLAX","COMMON",345614.45,440394.08,231928.63,343633.21,227634.32,316795.92,461211.1105,367887.89,303638.99,210629.5
"92","0031","FLAX","LEWIS/WILD BLUE",NA,NA,209.4,216.6,635.78,59.32,159.18,302.92,829.46,227.16
"93","0031","FLAX","LINOLA",311.13,405.29,102.75,683.25,1212.45,394.32,179.55,NA,83.45,60
"94","0032","ELDERBERRIES","BRUSH HILLS",18.01,4.14,19.96,35.17,47.79,35.7,57.74,128.821,123.368,164.69
"95","0032","ELDERBERRIES","CHEROKEE",3.67,3.65,17.41,35.81,34.93,33.85,53.47,51,49.66,44.67
"96","0032","ELDERBERRIES","MILL CREEK",NA,NA,16.32,NA,NA,NA,NA,0.72,0.55,0.63
"97","0033","CAMELINA","CAMELINA",29501.66,15324.88,6163.84,NA,NA,NA,NA,NA,NA,NA
"98","0033","CAMELINA","NULL",NA,NA,NA,7487.36,NA,NA,NA,NA,NA,NA
"99","0033","CAMELINA",NA,NA,NA,NA,NA,5158.62,4148.07,4264.05,2086.05,1476.4,1198.66
"100","0034","PEACHES","CLING PEACHES",19183.39,18423.43,16314.48,16928.34,16888.09,15213.28,15844.93,13863.56,15480.2561,15841.1683
"101","0034","PEACHES","FREESTONE EARLY SEASON",NA,NA,1171.91,1391.36,1305.07,1748.11,1393.3,1412.9,1379.407,2159.213
"102","0034","PEACHES","FREESTONE LATE SEASON",NA,NA,1443.39,1836.2,2092.22,2416.7,2003.96,1723.42,2108.76,2068.53
"103","0034","PEACHES","FREESTONE MID SEASON",NA,NA,3744.13,3942.07,4122.86,4053.9,4142.619,3682.4715,3346.1955,3269.0905
"104","0034","PEACHES","FREESTONE PEACHES",31544.27,30566.96,46011.67,45668.19,47356.19,47437.61,45687.589,44661.876,42026.617,41128.1908
"105","0034","PEACHES","SF CLING EARLIES",727.86,536.37,1161.23,697.15,656.49,462.68,497.94,993.89,522.1704,510.7484
"106","0034","PEACHES","SF CLING EXT EARLY",609.79,455.8,1008.46,696.8,737.66,512.28,483.27,532.69,717.89,516.06
"107","0034","PEACHES","SF CLING EXT LATE",260.3,225.3,555.6,321.7,434.48,193.5,139.4,171.4,428.92,260.42
"108","0034","PEACHES","SF CLING LATE",1246.31,819.58,1572.47,1261.44,1329.42,711.87,798.57,798.15,942.05,859.53
"109","0035","LEMONS","NULL",NA,NA,NA,4198.07,NA,NA,NA,NA,NA,NA
"110","0035","LEMONS",NA,3600.64,3638.67,5977.38,NA,4180.43,4925.12,3856.2302,3973.312,4346.664,6113.1672
"111","0036","LIMES","KEY",0.6,NA,5.2,3.61,3.5,72.48,3.02,4.36,3.43,59.9
"112","0036","LIMES","MEXICAN",NA,0.4,9.6,0.6,9.74,1.64,22.36,21.3,1.582,3.395
"113","0036","LIMES","TAHITI LIMES",15.51,26.74,33.15,27.25,6.5,6.31,26.21,40.12,7.65,17.6
"114","0037","RAISINS","NULL",NA,NA,NA,6484.4,NA,NA,NA,NA,NA,NA
"115","0037","RAISINS",NA,1781.95,2864.3,6770.9,NA,8839.26,10180.92,8255.98,11225.78,11883.92,11628.64
"116","0038","SUGARCANE","NULL",NA,NA,NA,1019131.17,NA,NA,NA,NA,NA,NA
"117","0038","SUGARCANE",NA,725492.25,756573.61,1324341.23,NA,1046980.99,736512.76,1300026.96,1352400.874,1352717.494,1354327.72
"118","0039","SUGAR BEETS","NULL",NA,NA,NA,1641180.31,NA,NA,NA,NA,NA,NA
"119","0039","SUGAR BEETS",NA,1200028.24,1189292.11,1642161.02,NA,1592720.99,1517187.12,1520832.599,1528757.342,1492181.48,1483448.9774
"120","0041","CORN","AMA",NA,NA,NA,NA,NA,NA,3873.22,42751.28,NA,NA
"121","0041","CORN","AMYLOSE",8119,7260.07,15730.89,11542.82,15916.67,5769.35,6104.9,24128.26,19114.96,26591.28
"122","0041","CORN","BLUE",11697.04,10546.01,3076.81,5959.65,12774.12,11920.93,10050.92,16737.4,12769.53,16380.3
"123","0041","CORN","CORN NUTS",1562.67,908.7,1450.53,147.4,4256.04,1590.84,1835.12,4300.82,874.62,3665.96
"124","0041","CORN","GRAINLESS FORAGE",NA,209.43,74669.37,4668.93,9409.31,2970.88,1616.67,1730.79,3278.85,626.08
"125","0041","CORN","HIGH AMYLASE",NA,NA,NA,NA,NA,NA,NA,NA,77077.78,74932.77
"126","0041","CORN","ORNAMENTAL",3382.71,1549.83,1461,1683.68,1294.84,1034.09,1068.978,1075.475,1237.337,1242.744
"127","0041","CORN","POPCORN",261874.12,241050.43,340948.62,391340.12,448083.9,508268.8,427438.924,424905.273,383370.231,390042.5924
"128","0041","CORN","RED",71.26,112.68,214.76,1422.97,1459.79,863.95,1036.34,550.32,716.98,2720.38
"129","0041","CORN","STRAWBERRY POPCORN",0.01,0.5,0.77,0.99,7.09,41.97,10.03,1.62,319.46,21
"130","0041","CORN","SWEET",490092.74,445424.52,587341.92,611572.35,584809.99,552344.15,533633.7164,510738.141,NA,NA
"131","0041","CORN","SWEET  BICOLOR",NA,NA,NA,NA,NA,NA,NA,NA,133679.2219,149658.8368
"132","0041","CORN","SWEET  WHITE",NA,NA,NA,NA,NA,NA,NA,NA,31858.3043,35263.4673
"133","0041","CORN","SWEET  YELLOW/GOLDEN EARLY",NA,NA,NA,NA,NA,NA,NA,NA,247562.0745,261022.339
"134","0041","CORN","SWEET  YELLOW/GOLDEN LATE",NA,NA,NA,NA,NA,NA,NA,NA,83789.3955,83869.4036
"135","0041","CORN","TROPICAL",223,302.1,1211.04,731.3,1459.64,1264.39,707.97,645.85,725.86,879.51
"136","0041","CORN","WAXY",NA,NA,NA,NA,NA,NA,NA,NA,80490.9,105378.11
"137","0041","CORN","WHITE",548624.54,548822.39,826296.97,933774.93,995231.3,945160.78,997927.88,1110046.165,1176014.38,917409.43
"138","0041","CORN","WXY",NA,NA,NA,10967.69,26566.6,43355.76,61845.83,90939.09,NA,NA
"139","0041","CORN","YELLOW",84395140.87,86219375.22,104791057.12,107419614.32,110272380.03,100764145.74,100621781.4703,106488115.9846,100952566.0656,100119217.4018
"140","0047","BEANS","ADZUKI",1994.08,3164.9,3454,1944.4,1725.03,2291.48,1939.68,2003.72,4328.69,5348.38
