"","Crop Code","Crop Name","Crop Type Name","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"214","0053","GRAPES","ADALMIINA",0.03,0.03,11.53,38.33,33.79,23.16,21.13,22.827,57.5703,69.7048
"215","0053","GRAPES","AGLIANICA",13.31,12.8,37.72,38.4,40.4,48.44,34.04,31.4,42.28,51.12
"216","0053","GRAPES","ALBARINO",NA,NA,NA,NA,NA,NA,NA,NA,421.5,440.2264
"217","0053","GRAPES","Alborz",NA,NA,NA,NA,NA,NA,NA,NA,28.58,NA
"218","0053","GRAPES","ALICANTE-BOUSCHET",337.99,329.77,690.68,482.33,476.34,471.34,416.82,358.66,73.89,38.3
"219","0053","GRAPES","ALMERIA",1.2,1,4.78,5.12,2,1.5,1.5,8.535,8.06,8.06
"220","0053","GRAPES","ALPENGLOW",NA,NA,NA,NA,NA,NA,NA,NA,1,0.49
"221","0053","GRAPES","AUK",NA,NA,NA,145.2,395.94,724.22,821.22,931.38,NA,NA
"222","0053","GRAPES","AURORA",363.2,367.11,352.2,342.79,332.11,341.81,359.11,366.08,335.92,360.06
"223","0053","GRAPES","AUTUMN KING",NA,NA,NA,NA,NA,NA,NA,NA,899.86,1005.5
"224","0053","GRAPES","AUTUMN ROYAL",2143.4,2179.85,3390,2004,1958.38,1304.19,1073.49,844.63,827.24,787.78
"225","0053","GRAPES","BACO NOIR",90.99,163.96,182.73,182.37,179.6,177.74,182.313,169.17,159.62,146.59
"226","0053","GRAPES","BARBERAS",2147.72,1811.19,3597.1,3472.48,2784.62,2930.78,3380.798,2324.398,1972.218,2154.648
"227","0053","GRAPES","BCZ",NA,NA,NA,34,NA,411.5,NA,NA,NA,NA
"228","0053","GRAPES","BEAUTY SEEDLESS",2,NA,NA,1.53,1.53,0.33,0.332,0.332,0.332,0.332
"229","0053","GRAPES","BETA",0.37,0.5,0.4,2,2,0.4,0.67,0.67,0.4,0.4
"230","0053","GRAPES","BIANCA",NA,NA,NA,NA,NA,NA,NA,NA,1.92,NA
"231","0053","GRAPES","BLACK MISSION",142.62,126.2,134.67,23.2,23.26,23.26,23.26,23.26,NA,NA
"232","0053","GRAPES","BLACK SEEDLESS",131.6,166.2,143.3,55.27,68.95,94.19,237.2,311.81,727.09,1050.15
"233","0053","GRAPES","BLACK SPANISH/LENOIR",1,NA,4.2,7.63,12.23,27.88,19.95,16.66,23.93,19.103
"234","0053","GRAPES","BLANC DUBOIS",10.23,1,3.4,17.24,23.34,41.33,35.41,25.81,30.18,29.54
"235","0053","GRAPES","BLANC SEEDLESS",2.22,NA,160,160.84,3.55,NA,10.88,10.1,8.91,8.66
"236","0053","GRAPES","BLUEBELL",42.7,33.53,33.83,30.03,28.02,37.94,42.56,28.41,17.6133,15.0674
"237","0053","GRAPES","BRIANNA",27.89,25.53,58.35,78.93,74.38,81.15,102.01,117.055,100.875,104.1737
"238","0053","GRAPES","BUFFALO/RUBIANA",0.27,0.42,0.2,1.2,1.2,1.1,1.82,0.07,0.06,1.73
"239","0053","GRAPES","BURGER",756.65,460.4,1544.2,1875.2,2582.25,2197.55,1568.23,2111.42,2111.42,2035.42
"240","0053","GRAPES","CABERNET",2433.51,2329.82,1862.29,3570.01,3978.63,4801.37,5008.68,5370.16,6341.03,4542.65
"241","0053","GRAPES","CABERNET FRANC",803.7,660.72,1335.07,1022.94,1097.54,1036.28,1223.916,1180.659,1249.6708,1065.8709
"242","0053","GRAPES","CABERNET PFEFFER",6.32,NA,0.2,4.57,6.61,163.17,NA,NA,162.14,NA
"243","0053","GRAPES","CABERNET SAUVIGNON",7100.47,7454.02,19537.91,15578.39,16175.83,15558.67,17502.406,19484.096,21165.19,20497.0945
"244","0053","GRAPES","CALMERIA",35.5,32,65.5,141.2,144.47,104.68,82.9,24.68,24.68,10.82
"245","0053","GRAPES","CAMBELL",5.7,5.7,1.53,NA,0.8,1,1.62,NA,NA,NA
"246","0053","GRAPES","CANADICE",2.14,2.06,1.96,3.32,40.54,45.65,43.338,41.728,43.878,3.918
"247","0053","GRAPES","CARDINAL",8.9,8.9,23.13,411.73,341.73,323.74,282.22,265.64,265.64,NA
"248","0053","GRAPES","CARIGNANE",442.7,338.4,199.6,78.4,58.65,49.89,82.57,84.17,88.17,84.17
"249","0053","GRAPES","CARMENET",3.3,4.7,19.02,38.92,28.19,31.58,39.09,43.01,20.15,40.35
"250","0053","GRAPES","CARMINE",NA,NA,36.8,0.94,0.94,2.25,1.04,1.04,2.08,12.21
"251","0053","GRAPES","CARNELIAN",87.1,106.1,270.2,272.6,234.28,207.68,150.86,150.86,NA,NA
"252","0053","GRAPES","CASCADE",5.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA
"253","0053","GRAPES","CASTEL",13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,14.76
"254","0053","GRAPES","CATAWBA",589.21,753.18,992.92,765.47,711.67,805.18,836.53,852.62,811.8226,844.392
"255","0053","GRAPES","CAYUGA",240.08,262.88,309.08,302.33,303.14,320.72,292.69,319.6371,301.862,306.19
"256","0053","GRAPES","CHAMBOURCIN",228.18,228.53,248.98,434.72,488.96,534.53,576.096,576.7841,566.011,665.359
"257","0053","GRAPES","CHANCELLOR",63.62,52.86,44.7,60.28,64.67,53.16,71.67,64.21,58.13,56.48
"258","0053","GRAPES","CHARDONEL",105.17,120.92,141.11,108.19,194.58,93.61,112.63,116.7,113.7218,116.9798
"259","0053","GRAPES","CHARDONNAY",14202.62,13429.68,26406.77,21659.17,23941.8,18370.4,18877.564,17549.2522,15567.9572,16701.0815
"260","0053","GRAPES","CHELOIS",4.7,4.85,8.96,13.56,12.15,11.9,39.98,49.57,32.41,33.45
"261","0053","GRAPES","CHENIN BLANC",1583.41,1615.81,2702.74,1954.2,1671.6,1771.58,1409.9,1286.6,1107.81,1231.41
"262","0053","GRAPES","CHRISTMAS ROSE",64.9,73.5,78.4,29.8,29.8,29.66,12.54,NA,NA,NA
"263","0053","GRAPES","CINSAUT",5.3,8.3,33.96,32,35.47,56.77,73.65,91.63,101.21,116.21
"264","0053","GRAPES","CLINTON",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.0174
"265","0053","GRAPES","COLOBEL",5.4,16.3,67.4,19.8,322.27,99.65,24.21,24.21,14.71,14.71
"266","0053","GRAPES","COLUMBARD FRENCH",7661.39,6390.09,14559.58,14968.48,16781.94,17299.28,14069.56,13021.29,12207.05,11604.44
"267","0053","GRAPES","CONCORD",21729.87,18256.68,24389.91,25726.32,25978.3,24552.98,24779.97,23101.736,22732.8696,23048.2988
"268","0053","GRAPES","COR",NA,NA,NA,NA,NA,0.1,NA,0.81,NA,NA
"269","0053","GRAPES","COROT NOIR",26.26,23.14,25.43,27.08,25.66,58.3,58.33,42.3919,39.2019,36.056
"270","0053","GRAPES","CORVINA",NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.81
"271","0053","GRAPES","COUNOISE",6,6,19.6,21,21,24.48,20.68,36.88,29.76,30.36
"272","0053","GRAPES","CRIMSON",2008.66,1986.1,4518.96,2231.25,1994.14,1782.5,760.56,1186.46,941.94,851.95
"273","0053","GRAPES","CRIMSON SEEDLESS",2247.26,1779.7,1537.43,1092.65,1218.77,974.39,1017.58,678.47,658.66,715.56
"274","0053","GRAPES","CYNTHIA",36.06,33.29,63.15,61.96,23.33,15.23,15.23,13.23,13.23,13.23
"275","0053","GRAPES","CYNTHIANA",32.35,38.32,129,41.62,83.62,70.12,55.57,52.96,64.42,28.52
"276","0053","GRAPES","DECHAUNAC",124.56,108.72,80.93,81.56,77.8,75.1,71.34,83.99,84.32,105.98
"277","0053","GRAPES","DELAWARE",40.62,43.43,45.5,51.35,43.13,54.27,55.83,46.53,42.2,41.2
"278","0053","GRAPES","DIAMOND",51.19,48.81,56.18,62.4,56.98,76.46,75.6,77.27,81.45,84.45
"279","0053","GRAPES","DOLCETTO",17.61,14.51,87.24,66.48,52.48,67.17,75.05,82.39,100.83,111.05
"280","0053","GRAPES","DORNFELDER",2.04,2,19.68,23.86,16.37,14.96,15.12,13.72,13.91,13.99
"281","0053","GRAPES","DUTCHESS",0.8,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"282","0053","GRAPES","EDELWIESS",79.37,66.48,107.89,109.94,122,140.56,111.41,106.796,104.746,98.7778
"283","0053","GRAPES","EINSETT",0.45,0.3,1.1,0.9,0.9,7.47,7.378,7.088,0.268,7.888
"284","0053","GRAPES","ELVIRA",222.81,322.53,275.96,316.42,291.03,384.86,427,432.4,424.11,442.64
"285","0053","GRAPES","EMERALD RIESLING",14.9,14.9,NA,NA,NA,NA,0.8,0.8,3.81,3.81
"286","0053","GRAPES","EMERALD SEEDLESS",NA,NA,0.7,1,9.9,6.96,6.762,7.042,6.662,6.662
"287","0053","GRAPES","EMPERORS",22.6,21.4,9.1,5.7,3.14,3.14,4.14,3.92,3.92,2.4
"288","0053","GRAPES","ESPIRIT",8.4,8.75,7.6,11.12,12.22,15.3,14.2,14.2,13.2,13.31
"289","0053","GRAPES","EXOTIC",56.82,32.52,57.3,63.62,63.32,38.64,33.66,33.66,33.66,33.66
"290","0053","GRAPES","FANTASY",55.45,13.65,NA,NA,82.36,52,NA,NA,NA,NA
"291","0053","GRAPES","FIANO",NA,NA,NA,NA,NA,NA,NA,NA,4.78,11.58
"292","0053","GRAPES","FIESTA",1881.52,2041.2,4481,4726.8,4726.2,4854.23,3581.6,3502.46,2967.34,3376.02
"293","0053","GRAPES","FLAME SEEDLESS",2975.46,3252,5821.8,2691.6,3469.82,3156,1869.48,1896.4,2605.58,2531.66
"294","0053","GRAPES","FNO",NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA
"295","0053","GRAPES","FOCH",112.17,103.87,157.62,117.4,126.29,106.11,114.48,115.64,102.44,87.92
"296","0053","GRAPES","FOSCH",15.17,12.35,43.97,45.48,42.82,37.76,33.09,26.34,27.94,29.73
"297","0053","GRAPES","FREDONIA",24.59,10.65,31.99,48.45,57.83,75.12,95.05,69.41,78.096,93.4618
"298","0053","GRAPES","FRONTENAC",185.29,242.78,279.37,305.53,323.29,325.84,486.43,403.34,408.8223,354.092
"299","0053","GRAPES","FRONTENAC BLANC",NA,NA,NA,NA,NA,NA,NA,NA,7.53,21.283
"300","0053","GRAPES","FRONTENAC GRIS",22.12,35.12,57.93,57.85,67.64,70.87,106.6,95.25,89.7987,80.1194
"301","0053","GRAPES","GAMAY BEAUJOLAIS",NA,0.4,33.6,30.2,33.69,33.57,31.18,28.54,54.03,54.03
"302","0053","GRAPES","GAMAY/NAPA GAMAY",36.58,53.59,28.72,31.96,29.54,29.31,28.63,28.92,26.67,28.04
"303","0053","GRAPES","GENEVA RED #7",42.11,40.96,41.02,39.36,40.5,42.06,51.33,64.862,65.222,63.592
"304","0053","GRAPES","GEWURTZTRAMINER",692.47,375.95,1005.76,831.36,829.07,826.22,792.73,684.2,698.95,637.37
"305","0053","GRAPES","GRB",NA,NA,NA,NA,NA,2.26,10.4,47.52,NA,NA
"306","0053","GRAPES","GREEN HUNGARIAN",NA,NA,5,18.4,23.3,2,4.9,4.9,14.66,NA
"307","0053","GRAPES","GRENACHE",2337.86,1610.27,3548.2,3861.62,3030.54,3378.45,2589.59,1440.57,944.34,758.62
"308","0053","GRAPES","GRENACHE BLANC",NA,NA,NA,NA,NA,NA,NA,NA,24.9,16.34
"309","0053","GRAPES","GREY RIESLING",40,70,140,190,190.08,80.08,79.68,82.08,82.08,82.08
"310","0053","GRAPES","GRUNER VELTLINER",NA,NA,NA,NA,NA,NA,NA,NA,21.92,37.59
"311","0053","GRAPES","GRV",NA,NA,NA,NA,NA,NA,NA,8.54,NA,NA
"312","0053","GRAPES","HIMROD",16.03,16.05,12.03,11.74,14.23,12.09,9.038,7.638,5.476,6.046
"313","0053","GRAPES","ISABELLA",18.23,20.35,21.08,24.08,21.07,21.72,20.73,20.92,24.13,28.33
"314","0053","GRAPES","ITALIA",134.4,134.4,NA,NA,NA,NA,NA,NA,3.11,8.91
"315","0053","GRAPES","IVES",14,16.15,19.82,19.82,28.02,24.19,36.39,15.93,16.51,16.51
"316","0053","GRAPES","JUPITER",0.49,3.79,2.28,2.27,11.38,2.03,13.406,12.136,12.596,7.68
"317","0053","GRAPES","KAY GRAY",0.63,0.2,0.2,0.2,0.2,0.34,0.3,0.15,1.77,1.4818
"318","0053","GRAPES","KERNER",NA,NA,NA,NA,NA,0.03,1.45,1.42,1.36,1.36
"319","0053","GRAPES","KING OF THE NORTH",2.15,2.18,3.19,3.91,4.09,4.66,8.8,8.72,9.7847,9.8772
"320","0053","GRAPES","KYOHO",4.1,4.1,NA,NA,2,23.46,2,2,2,2
"321","0053","GRAPES","LACRESENT",25.65,38.52,67.73,82.9,96.67,107.87,134.984,138.99,125.3726,113.3005
"322","0053","GRAPES","LACROSSE",66.19,46.11,65.06,71.2,79.43,84.73,65.82,59.91,55.71,49.67
"323","0053","GRAPES","LAKEMONT",0.3,NA,NA,1,0.7,0.7,0.8,0.8,0.83,0.92
"324","0053","GRAPES","LANDOT NOIR",0.03,0.03,4.03,9.59,7.26,8.16,9.77,5.75,5.884,6.25
"325","0053","GRAPES","LEMBERGER",44.01,46.02,54.86,48.95,58.41,69.9,80.92,77.5,77.9,82.23
"326","0053","GRAPES","LEON MILLOT/MILLOT",27.6,28.45,32.26,35.79,36.94,40.4,44.42,49.59,43.881,41.079
"327","0053","GRAPES","LOUISE SWENSON",0.03,0.03,1.53,7.03,8.38,5.82,7.92,7.51,8.6077,6.8174
"328","0053","GRAPES","MALBEC",187.81,232.68,833.66,1070.76,1133.5,1052.45,1418.65,1041.85,1127.49,1392.27
"329","0053","GRAPES","MALVASIA BIANCA",225,227.59,276.46,163.62,153.97,51.63,39.03,52.05,107.99,49.89
"330","0053","GRAPES","MARCHEL FOCH",15.47,10.9,27.87,40.38,33.07,19.65,36.6,34.57,39.4433,42.7633
"331","0053","GRAPES","MARQUE",46.03,29.05,75.92,24.3,16.61,19.94,21.01,21.77,23.77,43.834
"332","0053","GRAPES","MARQUETTE",42.83,56.67,130.17,161.68,206.77,232.15,320.34,348.956,333.7597,328.962
"333","0053","GRAPES","MARS",14.27,12.98,10.63,22.24,17.92,4,6.41,3.38,5.67,5.864
"334","0053","GRAPES","MARSANNE",0.5,0.5,34.7,30.4,25.89,36.85,37.84,49.1,52.03,52.08
"335","0053","GRAPES","MATARO/MOURVEDRE",52.56,69.73,237.88,210.98,213.31,254.15,372.59,543.73,559.124,579.03
"336","0053","GRAPES","MELODY",1.66,1.26,1.92,0.9,2.08,0.9,2.69,2.69,2.69,2.59
"337","0053","GRAPES","MELON",NA,NA,1.5,2.68,1.66,2.86,1.36,1.36,1.22,1.22
"338","0053","GRAPES","MERIOT",32.9,NA,238.38,166.06,67.19,23.09,123.92,106.86,22.11,24.17
"339","0053","GRAPES","MERLOT",8875.05,7769.82,14214.45,10472.54,11077,10317.91,9158.49,9148,8390.156,8805.7272
"340","0053","GRAPES","MEUNIER",7.64,5.65,3.64,14.23,15.1,3.32,4.67,28.53,31.14,32.24
"341","0053","GRAPES","MISSION",108.72,134.62,208.8,214.38,285.74,235.94,25.4,29.36,29.36,30.34
"342","0053","GRAPES","MULLERTHURGAU",34.33,30.93,28.3,37.1,33.32,28.12,30.158,29.358,4.058,4.058
"343","0053","GRAPES","MUSCADINE",2433.27,2385.1,3242.09,3246.29,3662.78,3783.84,3903.31,3774.08,3797.62,3913.42
"344","0053","GRAPES","MUSCAT",1519.19,1613.19,5628.99,5914.9,6531.88,6714.7,5522.966,6032.46,5177.86,5507.19
"345","0053","GRAPES","MUSCAT BLANC/MUSCAT CANELLI",689.49,733.38,945.43,861.53,912.65,840.07,378.08,377.78,257.58,253.8
"346","0053","GRAPES","MUSCAT GOLDEN",15.97,24.29,41.4,48.54,38.54,45.06,51.62,48.58,129.506,131.014
"347","0053","GRAPES","MUSCAT HAMBURG",NA,NA,NA,4.58,2.76,4.75,1.99,0.19,NA,NA
"348","0053","GRAPES","MUSCAT OF ALEXANDER",192.8,192.8,852.2,600.36,606.64,580.74,602.72,602.72,576.2,555.04
"349","0053","GRAPES","MUSCAT OTTONEL",7.25,11.3,4.5,4.7,8.42,7.71,7.07,7.07,6.19,8.88
"350","0053","GRAPES","NEBBIOLO",5.4,9.4,70.82,62.2,34.4,32.41,69.14,59.76,61.93,68.76
"351","0053","GRAPES","NEGRO AMARO",NA,NA,NA,NA,NA,NA,NA,NA,15.38,15.38
"352","0053","GRAPES","NEPTUNE",0.28,0.38,2.96,0.65,0.74,1.14,3.14,3.48,4.28,1.704
"353","0053","GRAPES","NGA",NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA
"354","0053","GRAPES","NIAGARA",4139.6,3560.65,4027.2,3797.91,3919.31,3815.4,3949.18,3831.27,3630.7306,3473.769
"355","0053","GRAPES","NOIRET",45.83,39.99,43.9,47.31,54.46,67.82,65.57,69.8,80.33,80.0818
"356","0053","GRAPES","NORTON",76.89,76.56,139.34,143.91,152.94,238.12,287.75,257.457,215.6159,154.1309
"357","0053","GRAPES","NY76.0844.24",2.94,3.34,5.17,5.83,6.82,10.94,11.04,9.47,10.47,10.37
"358","0053","GRAPES","NY81",NA,NA,NA,NA,NA,NA,NA,NA,0.26,2.14
"359","0053","GRAPES","PALOMINO CHASSELAS",17.4,8.9,2,20.4,19,2,2,2,2,2
"360","0053","GRAPES","PAYON DOR",NA,NA,NA,NA,NA,0.89,0.89,0.89,0.89,3
"361","0053","GRAPES","PERLETTE",NA,NA,NA,0.5,1.38,2.78,3.4,17.39,13.43,15.78
"362","0053","GRAPES","PETIT MANSENG",NA,NA,NA,NA,NA,NA,NA,NA,9.06,10.06
"363","0053","GRAPES","PETITA SIRAH",724.14,985.69,1648.54,2096.9,2900.25,2569.68,2895.15,3195.13,3116.27,3083.72
"364","0053","GRAPES","PETITA VARDOT",333.61,382.39,581.29,617,799.69,698.09,1034.53,990.35,1123.2192,1067.8104
"365","0053","GRAPES","PETITE AMIE",1.64,1.69,11.05,7.17,7.97,6.84,9,14.74,15.47,22.08
"366","0053","GRAPES","PINOT BLANC",96.99,71.18,503.84,258.64,286.04,249.66,272.164,255.514,356.4658,363.3358
"367","0053","GRAPES","PINOT BLANC (SPARKLING WINE)",NA,NA,10.6,7.2,5.8,NA,NA,NA,NA,NA
"368","0053","GRAPES","PINOT GRIS",2287.35,2749.76,5203.29,2927.2,3388.12,5176.98,6772.884,6219.314,6658.874,7074.514
"369","0053","GRAPES","PINOT GRIS (SPARKLING WINE)",2.94,0.5,0.25,4.7,4.7,4.4,NA,NA,NA,76.12
"370","0053","GRAPES","PINOT NOIR",4741.87,5323.08,7795.71,7150.38,6686.72,5561.8,6379.922,7013.772,6548.862,6479.024
"371","0053","GRAPES","PINOT NOIR (SPARKLING WINE)",30.2,NA,4,1.32,1.32,NA,45.6,45.6,46.44,45.6
"372","0053","GRAPES","PINOT ST GEORGE",42.02,31.58,0.3,13.16,6.5,87.48,86.82,86.82,87.48,4.86
"373","0053","GRAPES","PORT",1.21,31.36,9.77,8.97,10.2,8.63,9.6,9.6,13.26,9.6
"374","0053","GRAPES","PRAIRIE STAR",8.38,7.63,8.33,11.73,13.85,14.19,18.37,19.64,16.2507,15.8152
"375","0053","GRAPES","PRESTINE SEEDLESS",438.4,427.3,1.58,3,3.2,3.2,0.01,NA,NA,3
"376","0053","GRAPES","PRIMITIVO",5.3,35.65,284.98,281.58,281.38,412,438.98,419.73,541.93,419.27
"377","0053","GRAPES","PRINCESS",1068.4,697.5,816.4,888.8,927.24,701.58,425,708.8,380.3,584.98
"378","0053","GRAPES","PTM",NA,NA,NA,NA,NA,8.88,8.56,8.56,NA,NA
"379","0053","GRAPES","RAL",NA,NA,NA,NA,NA,0.19,0.19,4.19,NA,NA
"380","0053","GRAPES","RALLI/ANAHITA",NA,NA,NA,NA,NA,NA,NA,NA,4,4
"381","0053","GRAPES","RAVAT",NA,NA,2.9,9.76,9.76,9.75,9.75,11.27,11.63,3.84
"382","0053","GRAPES","RAYON DOR",0.2,0.2,0.2,1.09,1.19,0.1,0.1,0.1,0.1,0.16
"383","0053","GRAPES","RED GLOBE",3441.59,2803.25,4907.78,3087.88,3215.76,2799.28,2909.79,2372.22,1851.39,754.094
"384","0053","GRAPES","RED SUFFOLK",0.52,0.42,0.42,0.6,1.1,0.6,0.602,0.602,0.602,0.602
"385","0053","GRAPES","RED ZINFANDEL",69.41,70.74,2188,2116.8,2116.8,42.9,42.9,42.78,9.9,9.9
"386","0053","GRAPES","REDAL BLANC",1167.4,1058.92,NA,NA,NA,NA,NA,NA,NA,NA
"387","0053","GRAPES","REGENT",NA,NA,NA,NA,NA,NA,NA,NA,0.12,2.52
"388","0053","GRAPES","RELIANCE",8.97,8.6,12.04,5.87,5.28,18.56,22.488,28.028,21.6566,25.783
"389","0053","GRAPES","RIBER",0.3,10,NA,NA,NA,0.6,0.6,NA,NA,NA
"390","0053","GRAPES","RIESLING",1480.44,1517.89,2642.64,2626.4,3012.39,3163.06,2393.91,2335.084,2252.234,2013.012
"391","0053","GRAPES","RIP",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA
"392","0053","GRAPES","ROSETTE",10.59,2,11.5,9.35,3.25,9.21,6.33,6.18,14.99,15.88
"393","0053","GRAPES","ROUGEON",535.25,549.85,88.12,65.84,61.5,61.5,70.13,73.55,73.49,64.82
"394","0053","GRAPES","ROUSSANNE",15.59,20.74,88.54,141.6,149.79,155.9,161.34,192,204.69,211.9
"395","0053","GRAPES","ROYALTY",239.9,580.3,1481,1125.6,700.16,70.08,92.08,70.08,70.08,70.08
"396","0053","GRAPES","RUBIRED",4304.5,4910.2,11692.4,11358.8,10644.45,10275.45,9072.91,8129.27,7682.17,7397.33
"397","0053","GRAPES","RUBY CABERNET",1459.05,1452.71,4173.04,3642.44,3755.6,4031.44,3591.56,3511.8,3392.7,3325.32
"398","0053","GRAPES","RUBY RED SEEDLESS",1762.66,1591.5,1768.4,2618.8,2456.16,3722.59,3601.33,4363.56,3996.56,3795.98
"399","0053","GRAPES","RUBY SEEDLESS",292.6,292,100.8,43.2,40.8,46.58,46.58,46.58,5.96,NA
"400","0053","GRAPES","SABREVOIS",0.03,0.03,45.2,35.84,37.89,45.19,20.77,67.02,15.9447,95.8074
"401","0053","GRAPES","SAG",NA,NA,NA,NA,NA,4.76,12.4,19.86,NA,NA
"402","0053","GRAPES","SAGRANTINO",NA,NA,NA,NA,NA,NA,NA,NA,40.44,56.08
"403","0053","GRAPES","SALVADOR",75.2,39,78.6,110,110.02,32,78.02,78.02,78.02,NA
"404","0053","GRAPES","SANGIOVET/SANGIOVESE",209.83,208.99,491.02,394.28,360.9,455.4,527.47,556.4,603.98,609.32
"405","0053","GRAPES","SAUVIGNON VERT",15.4,4.8,8.4,NA,10.46,149.96,92.06,92.06,43.7,23.3
"406","0053","GRAPES","SAUVIGON BLANC/FUME BLANC",1555.96,1276.79,2714.17,1839.93,1816.95,1844.5,1901.26,1854.834,1812.09,1926.535
"407","0053","GRAPES","SCARLET ROYAL",NA,NA,NA,NA,NA,NA,NA,NA,2205.14,2102.68
"408","0053","GRAPES","SCHUREBE",0.6,0.3,0.6,1.6,2.57,2.67,2.57,2.57,20.23,0.3
"409","0053","GRAPES","SCR",NA,NA,NA,1038.4,1830.36,2641.96,1852.78,2181.34,NA,NA
"410","0053","GRAPES","SELMA PETE",NA,NA,NA,NA,NA,NA,NA,NA,636.8,1237.74
"411","0053","GRAPES","SEMILLON",74.2,79.07,264.84,122.54,124.24,133.47,128.604,118.834,122.654,145.794
"412","0053","GRAPES","SEYVAL/SEYVAL VILLARD",289.33,244.36,267.57,270.95,302.31,320.81,321.57,297.3371,246.521,256.101
"413","0053","GRAPES","SHERIDAN",1.5,1.54,3.54,2.64,2.59,2.59,4.34,4.26,5.56,4.54
"414","0053","GRAPES","SLP",NA,NA,NA,NA,38.7,92.1,NA,21.04,NA,NA
"415","0053","GRAPES","SOMERSET SEEDLESS",145.63,0.33,1.36,4.31,4.37,1.89,2.83,3.04,3.4961,3.424
"416","0053","GRAPES","ST CROIX",91.12,84.84,100.3,84.98,85.07,98.16,98.35,92.54,84.8317,88.8634
"417","0053","GRAPES","ST EMILION (UGNI BLANC)",NA,6,11.8,27.62,27.62,29.62,25.42,25.42,47,44.9
"418","0053","GRAPES","ST PEPIN",18.37,15.93,39.49,56.09,60.43,48.57,33.74,33.06,36.0667,37.4174
"419","0053","GRAPES","ST VINCENT",13.78,12.8,43.13,33.84,32.64,31.97,35.43,40.05,26.79,41.066
"420","0053","GRAPES","STEUBEN",18.69,14.38,10.7,28.35,36.99,46,50.45,38.62,32.238,39.628
"421","0053","GRAPES","STUKEN",0.25,0.25,0.25,0.3,0.3,NA,1,1,1,NA
"422","0053","GRAPES","SUMMER ROYAL",247.6,278.6,227,252,266.76,423.41,239.9,303.73,343.47,371.83
"423","0053","GRAPES","SUNBELT",NA,NA,1.1,NA,NA,NA,NA,0.375,NA,1.3
"424","0053","GRAPES","SUPERIOR SEEDLESS",122.6,276.9,561.3,596.1,748.98,820.42,1061.3,1273.34,852.32,873.86
"425","0053","GRAPES","SWEET SCARLET",NA,NA,1049.65,296.53,298.67,299.66,180.44,262.88,426.49,424.42
"426","0053","GRAPES","SWENSON RED",2.12,9.27,0.78,8.35,1.6,8.19,4.2,3.58,4.26,3.65
"427","0053","GRAPES","SWENSON WHITE",NA,NA,NA,NA,NA,NA,NA,NA,1.775,1.775
"428","0053","GRAPES","SWW",NA,NA,NA,0.6,0.6,3,1.665,3.93,NA,NA
"429","0053","GRAPES","SYLVANER",NA,NA,0.18,6.32,6,6,6,9.13,8.13,6
"430","0053","GRAPES","SYMPHONY",127.3,296.9,918,848.3,855.4,896.56,788.2,482.1,441.44,367.06
"431","0053","GRAPES","SYRAH/FRENCH SYRH SHIRAZ",3657.13,3348.42,7398.68,5977.72,6477.23,5759.19,5970.92,5498.2,5313.95,5305.58
"432","0053","GRAPES","TANNAT",10.81,15.75,57.8,261.4,346.94,251.81,409.52,410.8,438.92,435.04
"433","0053","GRAPES","TEMPRANILLO/VALDEPENAS",229.2,253.61,735.58,832.88,901.92,672.49,758.92,828.93,791.61,823.51
"434","0053","GRAPES","TER",NA,NA,NA,NA,NA,0.1,181.35,297.65,NA,NA
"435","0053","GRAPES","TEROLDEGO",NA,NA,NA,NA,NA,NA,NA,NA,443.27,451.43
"436","0053","GRAPES","TGA",NA,NA,NA,NA,NA,NA,NA,16.64,NA,NA
"437","0053","GRAPES","THOMPSON SEEDLESS",17476.17,15863.84,26949.99,21586.54,23492.29,22305.17,11358.36,10814.97,8947.7306,7050.8248
"438","0053","GRAPES","TINTA MADERA",0.5,3.31,9.3,8,8,9.46,9,9,9,26.62
"439","0053","GRAPES","TOKAY",61.32,59.4,119.2,116.8,117.2,5.02,0.4,0.4,0.4,NA
"440","0053","GRAPES","TOURIGA",NA,NA,NA,NA,NA,NA,NA,NA,8.64,40.94
"441","0053","GRAPES","TRAMINETTE",132,133.9,182.51,232.16,259.71,300.99,296.514,380.0873,374.3172,382.4272
"442","0053","GRAPES","VALIANT",3.89,8.31,8.91,3.46,8.66,2.09,7.06,16.785,17.1581,19.7654
"443","0053","GRAPES","VALVIN MUSCAT",NA,NA,3,6.11,6.11,7.4,6.9,8.99,11.78,19.25
"444","0053","GRAPES","VANESSA",0.72,0.67,5.17,1.23,2.47,3.23,3.09,4.98,5.85,6.95
"445","0053","GRAPES","VENIFERA",67.91,83.3,206.65,248.77,264.09,162.41,68.45,32.33,35.73,45.086
"446","0053","GRAPES","VENTURA",22.2,31.22,35.76,36.96,35.36,35.42,31.16,32.16,31.16,31.16
